# Logfile created on 2011-09-01 04:11:53 +0100 by logger.rb/31641
I, [2011-09-01T04:11:53.357047 #70036]  INFO -- : NICK lolfo
I, [2011-09-01T04:16:15.838598 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- the network!
I, [2011-09-01T04:16:15.838672 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:16:15.838740 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- Don't forget to check out these other Peer-Directed Projects:
I, [2011-09-01T04:16:15.838809 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- FOSSCON [http://www.fosscon.org] and fossevents 
I, [2011-09-01T04:16:15.838885 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- [http://www.fossevents.org], and soon we'll repeat last years 
I, [2011-09-01T04:16:15.838954 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- success with Picnics for Geeks across the globe, more info at 
I, [2011-09-01T04:16:15.839024 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- [http://geeknic.org]
I, [2011-09-01T04:16:15.839098 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:16:15.839167 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- freenode is a service of Peer-Directed Projects Center Ltd,
I, [2011-09-01T04:16:15.841595 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- a not for profit organisation registered in England and Wales.
I, [2011-09-01T04:16:15.853208 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:16:15.853345 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- If you support the work we do and wish to donate to the PDPC, 
I, [2011-09-01T04:16:15.853522 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- you may do so over at http://freenode.net/pdpc_donations.shtml
I, [2011-09-01T04:16:15.853613 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:16:15.853776 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- Thank you for using freenode!
I, [2011-09-01T04:16:15.853882 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:16:15.853963 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- ***************************************************************
I, [2011-09-01T04:16:15.854038 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- Please read http://blog.freenode.net/2010/11/be-safe-out-there/
I, [2011-09-01T04:16:15.854117 #70197]  INFO -- : :asimov.freenode.net 372 lolfo :- ***************************************************************
I, [2011-09-01T04:16:15.854186 #70197]  INFO -- : :asimov.freenode.net 376 lolfo :End of /MOTD command.
I, [2011-09-01T04:16:15.854260 #70197]  INFO -- : JOIN #cramp
I, [2011-09-01T04:16:15.854322 #70197]  INFO -- : :lolfo MODE lolfo :+i
I, [2011-09-01T04:16:19.953043 #70197]  INFO -- : :lolfo!~lolfo@host86-160-160-200.range86-160.btcentralplus.com JOIN :#cramp
I, [2011-09-01T04:16:20.087728 #70197]  INFO -- : :asimov.freenode.net 353 lolfo = #cramp :lolfo lifo
I, [2011-09-01T04:16:20.087944 #70197]  INFO -- : :asimov.freenode.net 366 lolfo #cramp :End of /NAMES list.
I, [2011-09-01T04:16:25.103197 #70197]  INFO -- : PRIVMSG #cramp :Heylo
I, [2011-09-01T04:16:32.514014 #70197]  INFO -- : :lifo!~lifo@unaffiliated/lifo PRIVMSG #cramp :Sup
I, [2011-09-01T04:16:48.135276 #70197]  INFO -- : Connection lost, sleeping 5 seconds
I, [2011-09-01T04:16:53.135453 #70197]  INFO -- : Reconnection to: irc.freenode.net Port: 6667
I, [2011-09-01T04:18:38.589962 #70209]  INFO -- : NICK lolfo
I, [2011-09-01T04:18:38.590143 #70209]  INFO -- : USER lolfo 8 * :lolfo
I, [2011-09-01T04:18:38.725206 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Looking up your hostname...
I, [2011-09-01T04:18:38.861104 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Checking Ident
I, [2011-09-01T04:18:38.861295 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Found your hostname
I, [2011-09-01T04:18:51.696196 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** No Ident response
I, [2011-09-01T04:18:51.697033 #70209]  INFO -- : :asimov.freenode.net 001 lolfo :Welcome to the freenode Internet Relay Chat Network lolfo
I, [2011-09-01T04:18:51.697201 #70209]  INFO -- : :asimov.freenode.net 002 lolfo :Your host is asimov.freenode.net[174.143.119.91/6667], running version ircd-seven-1.0.3
I, [2011-09-01T04:18:51.697319 #70209]  INFO -- : :asimov.freenode.net 003 lolfo :This server was created Fri Mar 4 2011 at 17:35:00 UTC
I, [2011-09-01T04:18:51.697440 #70209]  INFO -- : :asimov.freenode.net 004 lolfo asimov.freenode.net ircd-seven-1.0.3 DOQRSZaghilopswz CFILMPQbcefgijklmnopqrstvz bkloveqjfI
I, [2011-09-01T04:18:51.697537 #70209]  INFO -- : :asimov.freenode.net 005 lolfo CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQcgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
I, [2011-09-01T04:18:51.697667 #70209]  INFO -- : :asimov.freenode.net 005 lolfo SAFELIST ELIST=U CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 :are supported by this server
I, [2011-09-01T04:18:51.697794 #70209]  INFO -- : :asimov.freenode.net 005 lolfo FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: EXTBAN=$,arx WHOX CLIENTVER=3.0 :are supported by this server
I, [2011-09-01T04:18:51.697915 #70209]  INFO -- : :asimov.freenode.net 251 lolfo :There are 281 users and 61755 invisible on 28 servers
I, [2011-09-01T04:18:51.698029 #70209]  INFO -- : :asimov.freenode.net 252 lolfo 34 :IRC Operators online
I, [2011-09-01T04:18:51.698138 #70209]  INFO -- : :asimov.freenode.net 253 lolfo 18 :unknown connection(s)
I, [2011-09-01T04:18:51.698270 #70209]  INFO -- : :asimov.freenode.net 254 lolfo 43745 :channels formed
I, [2011-09-01T04:18:51.698363 #70209]  INFO -- : :asimov.freenode.net 255 lolfo :I have 6599 clients and 1 servers
I, [2011-09-01T04:18:51.698459 #70209]  INFO -- : :asimov.freenode.net 265 lolfo 6599 8143 :Current local users 6599, max 8143
I, [2011-09-01T04:18:51.698561 #70209]  INFO -- : :asimov.freenode.net 266 lolfo 62036 72826 :Current global users 62036, max 72826
I, [2011-09-01T04:18:51.698659 #70209]  INFO -- : :asimov.freenode.net 250 lolfo :Highest connection count: 8144 (8143 clients) (246006 connections received)
I, [2011-09-01T04:18:51.698761 #70209]  INFO -- : :asimov.freenode.net 375 lolfo :- asimov.freenode.net Message of the Day - 
I, [2011-09-01T04:18:51.698857 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- Welcome to asimov.freenode.net in TX, USA!  Thanks to
I, [2011-09-01T04:18:51.698949 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- Rackspace (www.rackspace.com) for sponsoring
I, [2011-09-01T04:18:51.699052 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- this server!
I, [2011-09-01T04:18:51.699143 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.699282 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- ASIMOV, ISAAC [1920-1992].  One of the brightest stars of the
I, [2011-09-01T04:18:51.699384 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- science fiction universe.  Author of I Robot, the
I, [2011-09-01T04:18:51.699477 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- Foundation series (which "grew like Topsy"), Pebble in the
I, [2011-09-01T04:18:51.699570 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- Sky and hundreds of works of science fact and science
I, [2011-09-01T04:18:51.699669 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- fiction.
I, [2011-09-01T04:18:51.699759 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.699850 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- You're using freenode, a service of Peer-Directed Projects
I, [2011-09-01T04:18:51.699949 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- Center Ltd (http://freenode.net/pdpc.shtml).
I, [2011-09-01T04:18:51.700041 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.700130 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- PDPC's 2011 fundraiser launched on 14th February 2011. We would 
I, [2011-09-01T04:18:51.700229 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- like to invite all users of freenode to get involved in the fun
I, [2011-09-01T04:18:51.700321 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- of our Valentine-themed fundraiser launch - see 
I, [2011-09-01T04:18:51.833330 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- http://freenode.net/pdpc_valentine.shtml for more!
I, [2011-09-01T04:18:51.834258 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.834634 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- On the subject of fundraisers, we'd like to thank our donors, 
I, [2011-09-01T04:18:51.834721 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- hardware and bandwith sponsors and especially  The Gallery 
I, [2011-09-01T04:18:51.834805 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- Project (http://gallery.menalto.com/) and our corporate sponsor 
I, [2011-09-01T04:18:51.834876 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- Canonical Ltd (http://www.canonical.com) for the generous 
I, [2011-09-01T04:18:51.834947 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- support.
I, [2011-09-01T04:18:51.835023 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.835092 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- By connecting to freenode you indicate that you have read
I, [2011-09-01T04:18:51.835163 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- and agree to adhere to our policies and procedures as per
I, [2011-09-01T04:18:51.835239 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- the website (http://freenode.net). We would like to remind
I, [2011-09-01T04:18:51.835308 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- you that unauthorized public logging of channels on the
I, [2011-09-01T04:18:51.835377 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- network is prohibited. Public channel logging should only
I, [2011-09-01T04:18:51.835451 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- take place where the channel owner(s) has requested this
I, [2011-09-01T04:18:51.835520 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- and users of the channel are all made aware (if you are
I, [2011-09-01T04:18:51.835673 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- publically logging your channel, you may wish to keep a
I, [2011-09-01T04:18:51.835744 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- notice in topic and perhaps as a on-join message).
I, [2011-09-01T04:18:51.835813 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.835902 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- By registering your nickname with Nickserv you agree that you
I, [2011-09-01T04:18:51.835972 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- are 13 years of age, or older. For more information about the
I, [2011-09-01T04:18:51.836069 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- Children's Online Privacy Protection Act please see their
I, [2011-09-01T04:18:51.836144 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- website at (http://www.coppa.org).
I, [2011-09-01T04:18:51.836213 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.836280 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- freenode runs an open proxy scanner. Your use of the network
I, [2011-09-01T04:18:51.836354 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- indicates your acceptance of this policy. For details on
I, [2011-09-01T04:18:51.836422 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- freenode network policy, please take a look at our policy
I, [2011-09-01T04:18:51.836497 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- page (http://freenode.net/policy.shtml). Thank you for using
I, [2011-09-01T04:18:51.836566 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- the network!
I, [2011-09-01T04:18:51.836632 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.836705 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- Don't forget to check out these other Peer-Directed Projects:
I, [2011-09-01T04:18:51.836773 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- FOSSCON [http://www.fosscon.org] and fossevents 
I, [2011-09-01T04:18:51.836841 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- [http://www.fossevents.org], and soon we'll repeat last years 
I, [2011-09-01T04:18:51.836916 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- success with Picnics for Geeks across the globe, more info at 
I, [2011-09-01T04:18:51.836998 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- [http://geeknic.org]
I, [2011-09-01T04:18:51.837066 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.837140 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- freenode is a service of Peer-Directed Projects Center Ltd,
I, [2011-09-01T04:18:51.837288 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- a not for profit organisation registered in England and Wales.
I, [2011-09-01T04:18:51.837364 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.837432 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- If you support the work we do and wish to donate to the PDPC, 
I, [2011-09-01T04:18:51.837536 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- you may do so over at http://freenode.net/pdpc_donations.shtml
I, [2011-09-01T04:18:51.837610 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.837678 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- Thank you for using freenode!
I, [2011-09-01T04:18:51.837745 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :-  
I, [2011-09-01T04:18:51.837818 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- ***************************************************************
I, [2011-09-01T04:18:51.837886 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- Please read http://blog.freenode.net/2010/11/be-safe-out-there/
I, [2011-09-01T04:18:51.837954 #70209]  INFO -- : :asimov.freenode.net 372 lolfo :- ***************************************************************
I, [2011-09-01T04:18:51.838028 #70209]  INFO -- : :asimov.freenode.net 376 lolfo :End of /MOTD command.
I, [2011-09-01T04:18:51.838102 #70209]  INFO -- : JOIN #cramp
I, [2011-09-01T04:18:51.838185 #70209]  INFO -- : :lolfo MODE lolfo :+i
I, [2011-09-01T04:18:55.997712 #70209]  INFO -- : :lolfo!~lolfo@host86-160-160-200.range86-160.btcentralplus.com JOIN :#cramp
I, [2011-09-01T04:18:56.132562 #70209]  INFO -- : :asimov.freenode.net 353 lolfo = #cramp :lolfo lifo
I, [2011-09-01T04:18:56.132742 #70209]  INFO -- : :asimov.freenode.net 366 lolfo #cramp :End of /NAMES list.
I, [2011-09-01T04:18:58.939872 #70209]  INFO -- : PRIVMSG #cramp :hello!
I, [2011-09-01T04:19:02.017823 #70209]  INFO -- : :lifo!~lifo@unaffiliated/lifo PRIVMSG #cramp :su
I, [2011-09-01T04:19:04.979924 #70209]  INFO -- : PRIVMSG #cramp :oh man
I, [2011-09-01T04:19:08.865908 #70209]  INFO -- : PRIVMSG #cramp :this shit is awesome
I, [2011-09-01T04:19:17.690116 #70209]  INFO -- : PRIVMSG #cramp :fuck yeha
I, [2011-09-01T04:19:32.343224 #70209]  INFO -- : PRIVMSG #cramp :shitcockcunt YES!
I, [2011-09-01T04:19:47.654431 #70209]  INFO -- : NICK fuckfo
I, [2011-09-01T04:19:47.654628 #70209]  INFO -- : USER fuckfo 8 * :fuckfo
I, [2011-09-01T04:19:47.788319 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Looking up your hostname...
I, [2011-09-01T04:19:47.927981 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Checking Ident
I, [2011-09-01T04:19:47.928969 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Found your hostname
I, [2011-09-01T04:19:50.666255 #70209]  INFO -- : NICK shitcock
I, [2011-09-01T04:19:50.666632 #70209]  INFO -- : USER shitcock 8 * :shitcock
I, [2011-09-01T04:19:50.807281 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Looking up your hostname...
I, [2011-09-01T04:19:50.942018 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Checking Ident
I, [2011-09-01T04:19:50.942189 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Found your hostname
I, [2011-09-01T04:19:53.775561 #70209]  INFO -- : NICK cuntface
I, [2011-09-01T04:19:53.775770 #70209]  INFO -- : USER cuntface 8 * :cuntface
I, [2011-09-01T04:19:53.909489 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Looking up your hostname...
I, [2011-09-01T04:19:54.043167 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Checking Ident
I, [2011-09-01T04:19:54.043329 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Found your hostname
I, [2011-09-01T04:19:57.774533 #70209]  INFO -- : NICK dickman
I, [2011-09-01T04:19:57.774710 #70209]  INFO -- : USER dickman 8 * :dickman
I, [2011-09-01T04:19:57.909611 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Looking up your hostname...
I, [2011-09-01T04:19:58.045280 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Checking Ident
I, [2011-09-01T04:19:58.045444 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Found your hostname
I, [2011-09-01T04:20:00.554542 #70209]  INFO -- : NICK yoman
I, [2011-09-01T04:20:00.554715 #70209]  INFO -- : USER yoman 8 * :yoman
I, [2011-09-01T04:20:00.688734 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Looking up your hostname...
I, [2011-09-01T04:20:00.823062 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Checking Ident
I, [2011-09-01T04:20:00.823270 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** Found your hostname
I, [2011-09-01T04:20:01.731835 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** No Ident response
I, [2011-09-01T04:20:01.732405 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** No Ident response
I, [2011-09-01T04:20:01.866101 #70209]  INFO -- : :asimov.freenode.net 432 * shitcock :Erroneous Nickname
I, [2011-09-01T04:20:01.866958 #70209]  INFO -- : :asimov.freenode.net 432 * fuckfo :Erroneous Nickname
I, [2011-09-01T04:20:06.585163 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** No Ident response
I, [2011-09-01T04:20:06.719317 #70209]  INFO -- : :asimov.freenode.net 432 * cuntface :Erroneous Nickname
I, [2011-09-01T04:20:11.869131 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** No Ident response
I, [2011-09-01T04:20:11.869351 #70209]  INFO -- : :asimov.freenode.net 001 yoman :Welcome to the freenode Internet Relay Chat Network yoman
I, [2011-09-01T04:20:11.869477 #70209]  INFO -- : :asimov.freenode.net 002 yoman :Your host is asimov.freenode.net[174.143.119.91/6667], running version ircd-seven-1.0.3
I, [2011-09-01T04:20:11.869594 #70209]  INFO -- : :asimov.freenode.net 003 yoman :This server was created Fri Mar 4 2011 at 17:35:00 UTC
I, [2011-09-01T04:20:11.869706 #70209]  INFO -- : :asimov.freenode.net 004 yoman asimov.freenode.net ircd-seven-1.0.3 DOQRSZaghilopswz CFILMPQbcefgijklmnopqrstvz bkloveqjfI
I, [2011-09-01T04:20:11.869800 #70209]  INFO -- : :asimov.freenode.net 005 yoman CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQcgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
I, [2011-09-01T04:20:11.869974 #70209]  INFO -- : :asimov.freenode.net 005 yoman SAFELIST ELIST=U CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 :are supported by this server
I, [2011-09-01T04:20:11.870101 #70209]  INFO -- : :asimov.freenode.net 005 yoman FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: EXTBAN=$,arx WHOX CLIENTVER=3.0 :are supported by this server
I, [2011-09-01T04:20:11.870214 #70209]  INFO -- : :asimov.freenode.net 251 yoman :There are 281 users and 61754 invisible on 28 servers
I, [2011-09-01T04:20:11.870325 #70209]  INFO -- : :asimov.freenode.net 252 yoman 34 :IRC Operators online
I, [2011-09-01T04:20:11.870436 #70209]  INFO -- : :asimov.freenode.net 253 yoman 11 :unknown connection(s)
I, [2011-09-01T04:20:11.870553 #70209]  INFO -- : :asimov.freenode.net 254 yoman 43742 :channels formed
I, [2011-09-01T04:20:11.870662 #70209]  INFO -- : :asimov.freenode.net 255 yoman :I have 6599 clients and 1 servers
I, [2011-09-01T04:20:11.870770 #70209]  INFO -- : :asimov.freenode.net 265 yoman 6599 8143 :Current local users 6599, max 8143
I, [2011-09-01T04:20:11.870896 #70209]  INFO -- : :asimov.freenode.net 266 yoman 62035 72826 :Current global users 62035, max 72826
I, [2011-09-01T04:20:11.871010 #70209]  INFO -- : :asimov.freenode.net 250 yoman :Highest connection count: 8144 (8143 clients) (246031 connections received)
I, [2011-09-01T04:20:11.871120 #70209]  INFO -- : :asimov.freenode.net 375 yoman :- asimov.freenode.net Message of the Day - 
I, [2011-09-01T04:20:11.871229 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- Welcome to asimov.freenode.net in TX, USA!  Thanks to
I, [2011-09-01T04:20:11.871338 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- Rackspace (www.rackspace.com) for sponsoring
I, [2011-09-01T04:20:11.871446 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- this server!
I, [2011-09-01T04:20:11.871553 #70209]  INFO -- : :asimov.freenode.net 372 yoman :-  
I, [2011-09-01T04:20:11.871669 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- ASIMOV, ISAAC [1920-1992].  One of the brightest stars of the
I, [2011-09-01T04:20:11.871762 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- science fiction universe.  Author of I Robot, the
I, [2011-09-01T04:20:11.871855 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- Foundation series (which "grew like Topsy"), Pebble in the
I, [2011-09-01T04:20:11.871948 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- Sky and hundreds of works of science fact and science
I, [2011-09-01T04:20:11.872042 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- fiction.
I, [2011-09-01T04:20:11.872132 #70209]  INFO -- : :asimov.freenode.net 372 yoman :-  
I, [2011-09-01T04:20:11.872223 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- You're using freenode, a service of Peer-Directed Projects
I, [2011-09-01T04:20:11.872315 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- Center Ltd (http://freenode.net/pdpc.shtml).
I, [2011-09-01T04:20:11.872406 #70209]  INFO -- : :asimov.freenode.net 372 yoman :-  
I, [2011-09-01T04:20:11.872497 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- PDPC's 2011 fundraiser launched on 14th February 2011. We would 
I, [2011-09-01T04:20:11.872590 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- like to invite all users of freenode to get involved in the fun
I, [2011-09-01T04:20:11.872682 #70209]  INFO -- : :asimov.freenode.net 372 yoman :- of our Valentine-themed fundraiser launch - see 
I, [2011-09-01T04:20:11.872817 #70209]  INFO -- : :asimov.freenode.net NOTICE * :*** No Ident response
I, [2011-09-01T04:20:11.872908 #70209]  INFO -- : :asimov.freenode.net 001 dickman :Welcome to the freenode Internet Relay Chat Network dickman
I, [2011-09-01T04:20:11.873001 #70209]  INFO -- : :asimov.freenode.net 002 dickman :Your host is asimov.freenode.net[174.143.119.91/6667], running version ircd-seven-1.0.3
I, [2011-09-01T04:20:11.873116 #70209]  INFO -- : :asimov.freenode.net 003 dickman :This server was created Fri Mar 4 2011 at 17:35:00 UTC
I, [2011-09-01T04:20:11.873221 #70209]  INFO -- : :asimov.freenode.net 004 dickman asimov.freenode.net ircd-seven-1.0.3 DOQRSZaghilopswz CFILMPQbcefgijklmnopqrstvz bkloveqjfI
I, [2011-09-01T04:20:11.873302 #70209]  INFO -- : :asimov.freenode.net 005 dickman CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQcgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
I, [2011-09-01T04:20:11.873405 #70209]  INFO -- : :asimov.freenode.net 005 dickman SAFELIST ELIST=U CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 :are supported by this server
I, [2011-09-01T04:20:11.873509 #70209]  INFO -- : :asimov.freenode.net 005 dickman FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: EXTBAN=$,arx WHOX CLIENTVER=3.0 :are supported by this server
I, [2011-09-01T04:20:11.873603 #70209]  INFO -- : :asimov.freenode.net 251 dickman :There are 281 users and 61755 invisible on 28 servers
I, [2011-09-01T04:20:11.873697 #70209]  INFO -- : :asimov.freenode.net 252 dickman 34 :IRC Operators online
I, [2011-09-01T04:20:11.873791 #70209]  INFO -- : :asimov.freenode.net 253 dickman 9 :unknown connection(s)
I, [2011-09-01T04:20:11.873882 #70209]  INFO -- : :asimov.freenode.net 254 dickman 43742 :channels formed
I, [2011-09-01T04:20:11.873974 #70209]  INFO -- : :asimov.freenode.net 255 dickman :I have 6600 clients and 1 servers
I, [2011-09-01T04:20:11.874066 #70209]  INFO -- : :asimov.freenode.net 265 dickman 6600 8143 :Current local users 6600, max 8143
I, [2011-09-01T04:20:11.874160 #70209]  INFO -- : :asimov.freenode.net 266 dickman 62036 72826 :Current global users 62036, max 72826
I, [2011-09-01T04:20:11.874256 #70209]  INFO -- : :asimov.freenode.net 250 dickman :Highest connection count: 8144 (8143 clients) (246032 connections received)
I, [2011-09-01T04:20:11.874350 #70209]  INFO -- : :asimov.freenode.net 375 dickman :- asimov.freenode.net Message of the Day - 
I, [2011-09-01T04:20:11.875262 #70209]  INFO -- : :asimov.freenode.net 372 dickman :- Welcome to asimov.freenode.net in TX, USA!  Thanks to
I, [2011-09-01T04:20:11.875362 #70209]  INFO -- : :asimov.freenode.net 372 dickman :- Rackspace (www.rackspace.com) for sponsoring
I, [2011-09-01T04:20:11.875455 #70209]  INFO -- : :asimov.freenode.net 372 dickman :- this server!
